,% missing from total,dtype,null values,unique values,Description,Special,count,mean,std,min,25%,50%,75%,max
AMT_REQ_CREDIT_BUREAU_YEAR,13.5,float64,41519,26,Number of enquiries to Credit Bureau about the client one day year (excluding last 3 months before application),,265992.0,1.899974435321363,1.869294998181557,0.0,0.0,1.0,3.0,25.0
APARTMENTS_AVG,50.75,float64,156061,2340,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,151450.0,0.11744049917464508,0.10824029130032231,0.0,0.0577,0.0876,0.1485,1.0
APARTMENTS_MEDI,50.75,float64,156061,1149,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,151450.0,0.11784992076592933,0.10907590600115313,0.0,0.0583,0.0864,0.1489,1.0
APARTMENTS_MODE,50.75,float64,156061,761,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,151450.0,0.11423100693298119,0.10793603908753288,0.0,0.0525,0.084,0.1439,1.0
BASEMENTAREA_AVG,58.52,float64,179943,3781,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,127568.0,0.08844221905179982,0.08243815873568511,0.0,0.0442,0.0763,0.1122,1.0
BASEMENTAREA_MEDI,58.52,float64,179943,3773,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,127568.0,0.08795485466574691,0.08217874951463418,0.0,0.0437,0.0758,0.1116,1.0
BASEMENTAREA_MODE,58.52,float64,179943,3842,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,127568.0,0.08754321224758557,0.08430717486924558,0.0,0.0407,0.0746,0.1124,1.0
CNT_CHILDREN,0.0,int64,0,15,Number of children the client has,,307511.0,0.4170517477423572,0.7221213844376252,0.0,0.0,0.0,1.0,19.0
CNT_FAM_MEMBERS,0.0,float64,2,18,How many family members does client have,,307509.0,2.152665450442101,0.9106815691792972,1.0,2.0,2.0,3.0,20.0
CODE_GENDER,0.0,object,0,3,Gender of the client,,,,,,,,,
COMMONAREA_AVG,69.87,float64,214865,3182,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,92646.0,0.044620715411350736,0.07603574505040936,0.0,0.0078,0.0211,0.0515,1.0
COMMONAREA_MEDI,69.87,float64,214865,3203,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,92646.0,0.04459510178529025,0.07614426224091464,0.0,0.0079,0.0208,0.0513,1.0
COMMONAREA_MODE,69.87,float64,214865,3129,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,92646.0,0.042553137750145714,0.07444452253839154,0.0,0.0072,0.019,0.049,1.0
DAYS_BIRTH,0.0,int64,0,17460,Client's age in days at the time of application,time only relative to the application,307511.0,-16036.995066843137,4363.98863178556,-25229.0,-19682.0,-15750.0,-12413.0,-7489.0
DAYS_EMPLOYED,0.0,int64,0,12574,How many days before the application the person started current employment,time only relative to the application,307511.0,63815.04590404896,141275.76651872724,-17912.0,-2760.0,-1213.0,-289.0,365243.0
DAYS_ID_PUBLISH,0.0,int64,0,6168,How many days before the application did client change the identity document with which he applied for the loan,time only relative to the application,307511.0,-2994.2023732484367,1509.4504190030234,-7197.0,-4299.0,-3254.0,-1720.0,0.0
DAYS_LAST_PHONE_CHANGE,0.0,float64,1,3774,How many days before application did client change phone,,307510.0,-962.8587883320868,826.8084870406566,-4292.0,-1570.0,-757.0,-274.0,0.0
DAYS_REGISTRATION,0.0,float64,0,15688,How many days before the application did client change his registration,time only relative to the application,307511.0,-4986.120327538419,3522.8863209630713,-24672.0,-7479.5,-4504.0,-2010.0,0.0
DEF_30_CNT_SOCIAL_CIRCLE,0.33,float64,1021,11,How many observation of client's social surroundings defaulted on 30 DPD (days past due) ,,306490.0,0.1434206662533851,0.4466984293815287,0.0,0.0,0.0,0.0,34.0
DEF_60_CNT_SOCIAL_CIRCLE,0.33,float64,1021,10,How many observation of client's social surroundings defaulted on 60 (days past due) DPD,,306490.0,0.10004894123788705,0.3622908039755738,0.0,0.0,0.0,0.0,24.0
ELEVATORS_AVG,53.3,float64,163891,258,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,143620.0,0.07894151232418883,0.13457600110034418,0.0,0.0,0.0,0.12,1.0
ELEVATORS_MEDI,53.3,float64,163891,47,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,143620.0,0.07807784431137725,0.13446714769067492,0.0,0.0,0.0,0.12,1.0
ELEVATORS_MODE,53.3,float64,163891,27,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,143620.0,0.074489736109177,0.1322561441505065,0.0,0.0,0.0,0.1208,1.0
EMERGENCYSTATE_MODE,47.4,object,145755,3,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,,,,,,,,
ENTRANCES_AVG,50.35,float64,154828,286,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,152683.0,0.1497246700680495,0.10004912076035906,0.0,0.069,0.1379,0.2069,1.0
ENTRANCES_MEDI,50.35,float64,154828,47,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,152683.0,0.1492127807286993,0.10036839449763228,0.0,0.069,0.1379,0.2069,1.0
ENTRANCES_MODE,50.35,float64,154828,31,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,152683.0,0.14519265864569073,0.10097698816024665,0.0,0.069,0.1379,0.2069,1.0
EXT_SOURCE_1,56.38,float64,173378,114585,Normalized score from external data source,normalized,134133.0,0.5021298056566625,0.21106224927392492,0.014568132412445587,0.33400728867409263,0.5059979305057544,0.6750525982300696,0.962692770561306
EXT_SOURCE_2,0.21,float64,660,119832,Normalized score from external data source,normalized,306851.0,0.5143926741308462,0.1910601549849365,8.173616518884397e-08,0.3924574161782719,0.5659614260608526,0.6636170897493769,0.8549996664047012
EXT_SOURCE_3,19.83,float64,60965,815,Normalized score from external data source,normalized,246546.0,0.5108529061799658,0.19484436446374884,0.0005272652387098817,0.3706496323299817,0.5352762504724826,0.6690566947824041,0.8960095494948396
FLAG_CONT_MOBILE,0.0,object,0,2,"Was mobile phone reachable (1=YES, 0=NO)",,307511.0,0.9981334001060125,0.04316389414243237,0.0,1.0,1.0,1.0,1.0
FLAG_DOCUMENT_10,0.0,object,0,2,Did client provide document 10,,307511.0,2.276341334131137e-05,0.004771055354069212,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_11,0.0,object,0,2,Did client provide document 11,,307511.0,0.003912055178513939,0.06242406326684518,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_12,0.0,object,0,2,Did client provide document 12,,307511.0,6.503832383231819e-06,0.0025502570915978662,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_13,0.0,object,0,2,Did client provide document 13,,307511.0,0.003525077151711646,0.05926771807375309,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_14,0.0,object,0,2,Did client provide document 14,,307511.0,0.0029364803210291664,0.054109767376428794,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_15,0.0,object,0,2,Did client provide document 15,,307511.0,0.0012097128232811183,0.034759938827692606,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_16,0.0,object,0,2,Did client provide document 16,,307511.0,0.009928100133003373,0.09914416233784908,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_17,0.0,object,0,2,Did client provide document 17,,307511.0,0.0002666571277125046,0.016327488741596615,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_18,0.0,object,0,2,Did client provide document 18,,307511.0,0.008129790479039774,0.08979823610939557,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_19,0.0,object,0,2,Did client provide document 19,,307511.0,0.0005951006630657115,0.024387465065862257,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_2,0.0,object,0,2,Did client provide document 2,,307511.0,4.2274910491006824e-05,0.006501789045489791,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_20,0.0,object,0,2,Did client provide document 20,,307511.0,0.0005072989258920819,0.02251762026844613,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_21,0.0,object,0,2,Did client provide document 21,,307511.0,0.0003349473677364387,0.01829853182243764,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_3,0.0,object,0,2,Did client provide document 3,,307511.0,0.7100233812774177,0.4537519684327393,0.0,0.0,1.0,1.0,1.0
FLAG_DOCUMENT_4,0.0,object,0,2,Did client provide document 4,,307511.0,8.129790479039775e-05,0.009016183216550894,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_5,0.0,object,0,2,Did client provide document 5,,307511.0,0.015114906458630749,0.12201022281354128,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_6,0.0,object,0,2,Did client provide document 6,,307511.0,0.0880553866365756,0.28337589286298986,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_7,0.0,object,0,2,Did client provide document 7,,307511.0,0.00019186305530533867,0.013850157677017421,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_8,0.0,object,0,2,Did client provide document 8,,307511.0,0.08137595077899652,0.273412048944513,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_9,0.0,object,0,2,Did client provide document 9,,307511.0,0.00389579559755586,0.06229471080039368,0.0,0.0,0.0,0.0,1.0
FLAG_EMAIL,0.0,object,0,2,"Did client provide email (1=YES, 0=NO)",,307511.0,0.0567199222141647,0.2313070397227076,0.0,0.0,0.0,0.0,1.0
FLAG_EMP_PHONE,0.0,object,0,2,"Did client provide work phone (1=YES, 0=NO)",,307511.0,0.8198893698111612,0.3842801989387643,0.0,1.0,1.0,1.0,1.0
FLAG_MOBIL,0.0,object,0,2,"Did client provide mobile phone (1=YES, 0=NO)",,307511.0,0.9999967480838083,0.001803307015351493,0.0,1.0,1.0,1.0,1.0
FLAG_OWN_CAR,0.0,object,0,2,Flag if the client owns a car,,,,,,,,,
FLAG_OWN_REALTY,0.0,object,0,2,Flag if client owns a house or flat,,,,,,,,,
FLAG_PHONE,0.0,object,0,2,"Did client provide home phone (1=YES, 0=NO)",,307511.0,0.28106636835755466,0.44952054685675835,0.0,0.0,0.0,1.0,1.0
FLAG_WORK_PHONE,0.0,object,0,2,"Did client provide home phone (1=YES, 0=NO)",,307511.0,0.1993684778755882,0.3995262281502265,0.0,0.0,0.0,0.0,1.0
FLOORSMAX_AVG,49.76,float64,153020,404,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,154491.0,0.22628190703665588,0.14464069954800401,0.0,0.1667,0.1667,0.3333,1.0
FLOORSMAX_MEDI,49.76,float64,153020,50,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,154491.0,0.22589659009262678,0.1450670259193514,0.0,0.1667,0.1667,0.3333,1.0
FLOORSMAX_MODE,49.76,float64,153020,26,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,154491.0,0.2223150474784939,0.14370940659531573,0.0,0.1667,0.1667,0.3333,1.0
FLOORSMIN_AVG,67.85,float64,208642,306,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,98869.0,0.23189350049054813,0.1613802888001374,0.0,0.0833,0.2083,0.375,1.0
FLOORSMIN_MEDI,67.85,float64,208642,48,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,98869.0,0.23162493804933798,0.16193354145715616,0.0,0.0833,0.2083,0.375,1.0
FLOORSMIN_MODE,67.85,float64,208642,26,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,98869.0,0.22805849255074895,0.16115977149547597,0.0,0.0833,0.2083,0.375,1.0
FONDKAPREMONT_MODE,68.39,object,210295,5,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,,,,,,,,
HOUR_APPR_PROCESS_START,0.0,int64,0,24,Approximately at what hour did the client apply for the loan,rounded,307511.0,12.063418869568894,3.2658322554378705,0.0,10.0,12.0,14.0,23.0
HOUR_APPR_PROCESS_START,0.0,int64,0,24,Approximately at what day hour did the client apply for the previous application,rounded,307511.0,12.063418869568894,3.2658322554378705,0.0,10.0,12.0,14.0,23.0
HOUSETYPE_MODE,50.18,object,154297,4,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,,,,,,,,
LANDAREA_AVG,59.38,float64,182590,3528,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,124921.0,0.06633318417239695,0.0811836407017936,0.0,0.0187,0.0481,0.0856,1.0
LANDAREA_MEDI,59.38,float64,182590,3561,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,124921.0,0.0671687490493992,0.08216701028007205,0.0,0.0187,0.0487,0.0868,1.0
LANDAREA_MODE,59.38,float64,182590,3564,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,124921.0,0.06495768445657654,0.08175027780843545,0.0,0.0166,0.0458,0.0841,1.0
LIVE_CITY_NOT_WORK_CITY,0.0,int64,0,2,"Flag if client's contact address does not match work address (1=different, 0=same, at city level)",,307511.0,0.17955455252007246,0.38381661538559575,0.0,0.0,0.0,0.0,1.0
LIVE_REGION_NOT_WORK_REGION,0.0,int64,0,2,"Flag if client's contact address does not match work address (1=different, 0=same, at region level)",,307511.0,0.04065870814377372,0.19749861882842365,0.0,0.0,0.0,0.0,1.0
LIVINGAPARTMENTS_AVG,68.35,float64,210199,1869,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,97312.0,0.10077477495067412,0.0925761339604974,0.0,0.0504,0.0756,0.121,1.0
LIVINGAPARTMENTS_MEDI,68.35,float64,210199,1098,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,97312.0,0.10195447324071032,0.09364233271153832,0.0,0.0513,0.0761,0.1231,1.0
LIVINGAPARTMENTS_MODE,68.35,float64,210199,737,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,97312.0,0.10564485674942452,0.09788044657879372,0.0,0.0542,0.0771,0.1313,1.0
LIVINGAREA_AVG,50.19,float64,154350,5200,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,153161.0,0.10739901933259771,0.11056452318371335,0.0,0.0453,0.0745,0.1299,1.0
LIVINGAREA_MEDI,50.19,float64,154350,5282,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,153161.0,0.10860673604899417,0.1122602586753476,0.0,0.0457,0.0749,0.1303,1.0
LIVINGAREA_MODE,50.19,float64,154350,5302,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,153161.0,0.1059750504371217,0.1118452658778338,0.0,0.0427,0.0731,0.1252,1.0
NAME_CONTRACT_TYPE,0.0,object,0,2,Identification if loan is cash or revolving,,,,,,,,,
NAME_CONTRACT_TYPE,0.0,object,0,2,"Contract product type (Cash loan, consumer loan [POS] ,...) of the previous application",,,,,,,,,
NAME_EDUCATION_TYPE,0.0,object,0,5,Level of highest education the client achieved,,,,,,,,,
NAME_FAMILY_STATUS,0.0,object,0,6,Family status of the client,,,,,,,,,
NAME_HOUSING_TYPE,0.0,object,0,6,"What is the housing situation of the client (renting, living with parents, ...)",,,,,,,,,
NAME_INCOME_TYPE,0.0,object,0,8,"Clients income type (businessman, working, maternity leave,)",,,,,,,,,
NAME_TYPE_SUITE,0.42,object,1292,8,Who was accompanying client when he was applying for the loan,,,,,,,,,
NAME_TYPE_SUITE,0.42,object,1292,8,Who accompanied client when applying for the previous application,,,,,,,,,
NONLIVINGAPARTMENTS_AVG,69.43,float64,213514,387,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,93997.0,0.00880867261721119,0.047731662050347935,0.0,0.0,0.0,0.0039,1.0
NONLIVINGAPARTMENTS_MEDI,69.43,float64,213514,215,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,93997.0,0.008651013330212667,0.04741472790780269,0.0,0.0,0.0,0.0039,1.0
NONLIVINGAPARTMENTS_MODE,69.43,float64,213514,168,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,93997.0,0.00807638754428333,0.04627626621983564,0.0,0.0,0.0,0.0039,1.0
NONLIVINGAREA_AVG,55.18,float64,169682,3291,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,137829.0,0.02835775707579683,0.06952318332123605,0.0,0.0,0.0036,0.0277,1.0
NONLIVINGAREA_MEDI,55.18,float64,169682,3324,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,137829.0,0.028235920597261824,0.07016648150682482,0.0,0.0,0.0031,0.0266,1.0
NONLIVINGAREA_MODE,55.18,float64,169682,3328,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,137829.0,0.02702231968598771,0.07025385904394456,0.0,0.0,0.0011,0.0231,1.0
OBS_30_CNT_SOCIAL_CIRCLE,0.33,float64,1021,34,How many observation of client's social surroundings with observable 30 DPD (days past due) default,,306490.0,1.4222454239942575,2.4009887461090083,0.0,0.0,0.0,2.0,348.0
OBS_60_CNT_SOCIAL_CIRCLE,0.33,float64,1021,34,How many observation of client's social surroundings with observable 60 DPD (days past due) default,,306490.0,1.4052921791901856,2.37980335197938,0.0,0.0,0.0,2.0,344.0
OCCUPATION_TYPE,31.35,object,96391,19,What kind of occupation does the client have,,,,,,,,,
ORGANIZATION_TYPE,0.0,object,0,58,Type of organization where client works,,,,,,,,,
OWN_CAR_AGE,65.99,float64,202929,63,Age of client's car,,104582.0,12.061090818687727,11.944811582242762,0.0,5.0,9.0,15.0,91.0
REGION_POPULATION_RELATIVE,0.0,float64,0,81,Normalized population of region where client lives (higher number means the client lives in more populated region),normalized ,307511.0,0.020868112057780042,0.0138312801227047,0.00029,0.010006,0.01885,0.028663,0.072508
REGION_RATING_CLIENT,0.0,int64,0,3,"Our rating of the region where client lives (1,2,3)",,307511.0,2.0524631639193394,0.50903390281568,1.0,2.0,2.0,2.0,3.0
REGION_RATING_CLIENT_W_CITY,0.0,int64,0,3,"Our rating of the region where client lives with taking city into account (1,2,3)",,307511.0,2.031520823645333,0.5027370329147687,1.0,2.0,2.0,2.0,3.0
REG_CITY_NOT_LIVE_CITY,0.0,int64,0,2,"Flag if client's permanent address does not match contact address (1=different, 0=same, at city level)",,307511.0,0.07817281333025486,0.26844377237340455,0.0,0.0,0.0,0.0,1.0
REG_CITY_NOT_WORK_CITY,0.0,int64,0,2,"Flag if client's permanent address does not match work address (1=different, 0=same, at city level)",,307511.0,0.23045354475124466,0.42112383591389724,0.0,0.0,0.0,0.0,1.0
REG_REGION_NOT_LIVE_REGION,0.0,int64,0,2,"Flag if client's permanent address does not match contact address (1=different, 0=same, at region level)",,307511.0,0.015144173704355291,0.12212647628215202,0.0,0.0,0.0,0.0,1.0
REG_REGION_NOT_WORK_REGION,0.0,int64,0,2,"Flag if client's permanent address does not match work address (1=different, 0=same, at region level)",,307511.0,0.05076891558350758,0.21952582879696064,0.0,0.0,0.0,0.0,1.0
TARGET,0.0,int64,0,2,"Target variable (1 - client with payment difficulties: he/she had late payment more than X days on at least one of the first Y installments of the loan in our sample, 0 - all other cases)",,307511.0,0.08072881945686496,0.27241864564839396,0.0,0.0,0.0,0.0,1.0
TOTALAREA_MODE,48.27,float64,148431,5117,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,159080.0,0.10254666268544127,0.10746232414961877,0.0,0.0412,0.0688,0.1276,1.0
WALLSMATERIAL_MODE,50.84,object,156341,8,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,,,,,,,,
WEEKDAY_APPR_PROCESS_START,0.0,object,0,7,On which day of the week did the client apply for the loan,,,,,,,,,
WEEKDAY_APPR_PROCESS_START,0.0,object,0,7,On which day of the week did the client apply for previous application,,,,,,,,,
YEARS_BEGINEXPLUATATION_AVG,48.78,float64,150007,286,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,157504.0,0.9777348581623325,0.059223314358362825,0.0,0.9767,0.9816,0.9866,1.0
YEARS_BEGINEXPLUATATION_MEDI,48.78,float64,150007,246,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,157504.0,0.9777522640694839,0.05989731850511965,0.0,0.9767,0.9816,0.9866,1.0
YEARS_BEGINEXPLUATATION_MODE,48.78,float64,150007,222,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,157504.0,0.9770653729429093,0.06457543708048016,0.0,0.9767,0.9816,0.9866,1.0
